"ID","Name","Flags"
"1","environments\Stars\StratholmeSkybox.mdx","0"
"2","environments\Stars\PortalWorldLegionSky.mdx","0"
"3","environments\Stars\DeathClouds.mdx","0"
"4","environments\Stars\Stars.mdx","0"
"5","environments\Stars\CavernsOfTimeSky.mdx","0"
"6","environments\Stars\DireMaulSkyBox.mdx","0"
"7","environments\Stars\HellfireSkyBox.mdx","0"
"8","environments\Stars\BoneWastesSkyBox.mdx","0"
"9","environments\Stars\ShadowMoonSkyBox.mdx","0"
"10","environments\Stars\NetherstormSkyBox.mdx","0"
"11","environments\Stars\BladesEdgeSkyBox.mdx","0"
"12","environments\Stars\NagrandSkyBox.mdx","1"
"14","environments\Stars\BladesedgeForestSkyBox.mdx","0"
"15","environments\Stars\BladesedgeNightElfSkyBox.mdx","0"
"18","environments\Stars\ShadowmoonIllidan.mdx","0"
"19","environments\Stars\DragonblightScarletSkyBox.mdx","2"
"21","environMENTS\Stars\ZulDrakSkyB.mdx","1"
"23","environMENTS\Stars\ColdarraSky.mdx","1"
"25","environMENTS\Stars\IceCrownCitadelSky.mdx","0"
"26","environMENTS\Stars\Aurora.mdx","2"
"27","environMENTS\Stars\IceCrownSky.mdx","0"
"28","environMENTS\Stars\IceCrownCitadelSky.mdx","0"
"29","environMENTS\Stars\IceCrownDarkSky.mdx","1"
"30","environMENTS\Stars\IceCrownCitadelSky.mdx","0"
"33","environMENTS\Stars\NexusRaid_NebulaSky.mdx","0"
"34","environMENTS\Stars\ChamberAspectsBlackSky.mdx","0"
"35","environMENTS\Stars\BladesedgeForestSkyBox.mdx","0"
"36","environMENTS\Stars\IceCrownScourgeSky.mdx","0"
"37","environMENTS\Stars\StormPeaks_SkyA.mdx","1"
"38","environMENTS\Stars\DeathKnightFireSkyBox.mdx","0"
"39","environMENTS\Stars\DeathKnightFireSkyBox.mdx","0"
"40","environMENTS\Stars\DeathKnightFireSkyBox.mdx","2"
"41","environMENTS\Stars\IceCrownDarkSky.mdx","0"
"42","environMENTS\Stars\IceCrownSunsetSky.mdx","0"
"45","environMENTS\Stars\WintergraspSmokySky.mdx","1"
"48","environMENTS\Stars\WintergraspSmokySky.mdx","0"
"49","environMENTS\Stars\ChamberAspectsBlackSky.mdx","0"
"51","environMENTS\Stars\ChamberAspectsBlackSky.mdx","0"
"52","environMENTS\Stars\WintergraspSmokySky.mdx","1"
"55","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"56","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"57","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"58","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"59","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"60","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"61","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"62","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"63","environMENTS\Stars\AuroraOrange.mdx","2"
"64","environMENTS\Stars\AuroraOrange.mdx","2"
"65","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"66","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"67","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"68","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"69","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"70","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"71","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"72","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"73","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"74","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"75","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"76","environMENTS\Stars\AuroraOrange.mdx","2"
"77","environMENTS\Stars\AuroraYellowGreen.mdx","2"
"78","environMENTS\Stars\AuroraOrange.mdx","2"
"79","environMENTS\Stars\AuroraOrange.mdx","2"
"80","environMENTS\Stars\ZulDrakSkyA.mdx","0"
"81","environMENTS\Stars\DeathSkybox.mdx","0"
"82","environMENTS\Stars\DeathSkybox.mdx","0"
"83","environMENTS\Stars\DeathSkybox.mdx","0"
"84","environMENTS\Stars\AuroraOrange.mdx","2"
"85","environMENTS\Stars\AuroraOrange.mdx","2"
"86","environMENTS\Stars\AuroraOrange.mdx","2"
"87","environMENTS\Stars\AuroraOrange.mdx","2"
"88","environMENTS\Stars\AuroraOrange.mdx","2"
"89","environMENTS\Stars\AuroraOrange.mdx","2"
"90","environMENTS\Stars\DeathSkybox.mdx","0"
"91","environMENTS\Stars\DeathSkybox.mdx","0"
"92","environMENTS\Stars\UlduranCloudySky.mdx","1"
"93","environMENTS\Stars\UlduranCloudySky.mdx","1"
"94","environMENTS\Stars\DalaranSkyBox.mdx","1"
"95","environMENTS\Stars\DalaranSkyBox.mdx","1"
"96","environMENTS\Stars\StormPeaks_SkyB_Storm.mdx","1"
"97","environMENTS\Stars\NexusRaid_StarrySky.mdx","0"
"98","environMENTS\Stars\NexusRaid_NebulaSky.mdx","0"
"99","environMENTS\Stars\NexusRaid_StarrySky.mdx","0"
"100","environMENTS\Stars\NexusRaid_NebulaSky.mdx","0"
"101","environMENTS\Stars\NexusRaid_Wormhole.mdx","0"
"102","environMENTS\Stars\NexusRaid_RuneEffects_Nebula.mdx","0"
"103","environMENTS\Stars\NexusRaid_RuneEffects_Starry.mdx","0"
"104","environMENTS\Stars\NexusRaid_StarrySky.mdx","0"
"105","environMENTS\Stars\NexusRaid_StarrySky.mdx","0"
"106","environMENTS\Stars\NexusRaid_NebulaSky.mdx","0"
"107","environMENTS\Stars\NexusRaid_Wormhole.mdx","0"
"108","environMENTS\Stars\NexusRaid_NebulaSky.mdx","0"
"109","environMENTS\Stars\NexusRaid_RuneEffects_Nebula.mdx","0"
"110","environMENTS\Stars\NexusRaid_StarrySky.mdx","0"
"111","environMENTS\Stars\NexusRaid_RuneEffects_Nebula.mdx","0"
"112","environMENTS\Stars\ZulDrakSkyB.mdx","0"
"113","environMENTS\Stars\ZulDrakSkyA.mdx","1"
"114","environments\Stars\IceCrownStormySky.mdx","1"
"115","environMENTS\Stars\StormPeaks_SkyB_Storm.mdx","1"
"116","environMENTS\Stars\StormPeaks_SkyC_Ulduar.mdx","1"
"117","environMENTS\Stars\IceCrownCitadelSky.mdx","1"
"118","environMENTS\Stars\NexusRaid_Wormhole.mdx","0"
"119","environMENTS\Stars\AzjolNerub_SkyA.mdx","0"
"120","environMENTS\Stars\StormPeaks_SkyC_Ulduar.mdx","1"
"121","environMENTS\Stars\AzjolNerub_SkyA.mdx","0"
"122","environMENTS\Stars\StormPeaks_SkyC_Ulduar.mdx","1"
"123","environments\Stars\AuroraYellowGreen.mdx","2"
"124","environments\Stars\Battlefield_Dirty_SkyBox.mdx","2"
"125","environments\Stars\AuroraOrange.mdx","2"
"126","environments\Stars\IceCrownSky.mdx","0"
"127","environments\Stars\Battlefield_Dirty_SkyBox.mdx","2"
"128","environments\Stars\Hyjal_SkyBox.mdx","0"
"129","environments\Stars\HellfireSkyBox.mdx","0"
"130","environments\Stars\LostIsleSkyBox.mdx","3"
"131","environments\stars\lostislegloomyskybox.mdx","2"
"132","environments\stars\firelandssky01.mdx","0"
"133","environments\Stars\KezanSkyBox.mdx","1"
"134","environments\Stars\IceCrownStormySky.mdx","1"
"135","environments\Stars\IceCrownRaidSky01.mdx","0"
"136","environments\Stars\IceCrownSky.mdx","1"
"137","environments\Stars\IceCrownSky.mdx","1"
"138","environments\Stars\IceCrownStarrySky.mdx","1"
"139","environments\Stars\IceCrownSky.mdx","1"
"140","environments\Stars\IceCrownSky.mdx","1"
"141","environments\Stars\IceCrownCitadelSky.mdx","0"
"142","environments\Stars\IceCrownRaidSky01.mdx","0"
"143","environments\Stars\IceCrownStormySky.mdx","1"
"144","environments\Stars\IceCrownStormySky.mdx","1"
"145","environments\Stars\IceCrownRaidSky02.mdx","0"
"146","environments\Stars\RubySanctumSky.mdx","1"
"147","environments\Stars\SkywallSkyBox.mdx","1"
"148","environments\Stars\RubySanctumSky.mdx","0"
"149","environments\stars\uldum_sky01.mdx","3"
"150","environments\stars\uldum_sky01.mdx","3"
"151","environments\stars
exusraid_runeeffects_starry.mdx","0"
"152","environments\stars\deepholm_sky01.mdx","1"
"153","environments\stars\twilightshammersky.mdx","2"
"154","environments\stars\lostislevocanoskybox.mdx","0"
"155","world\kalimdor\hyjal\passivedoodads\smoke\hyjal_smokeclouds.mdx","0"
"156","environments\stars\maelstrom_sky01.mdx","0"
"157","environments\stars\uldum_sky01.mdx","3"
"158","environments\stars\skywallraidskybox.mdx","1"
"159","environments\stars\twilighthighlandssky.mdx","2"
"160","environments\stars\twilighthighlandssky.mdx","2"
"161","environments\stars\twilighthighlandssky.mdx","2"
"162","environments\stars\twilightshammersky.mdx","0"
"163","environments\stars\twilightshammersky.mdx","2"
"164","environments\stars\skywallraidstormyskybox.mdx","0"
"165","environments\stars\twilighthighlandssky2.mdx","2"
"171","environments\stars\firelandssky01.mdx","0"
"172","environments\stars\coldarralunareclipsesky.mdx","0"
"175","world\expansion03\doodads\firelands\fogsphere\firelandsfogsphere.mdx","0"
"176","environments\stars\fallofazeroth01.mdx","0"
"177","environments\stars\wellofeternity01.mdx","0"
"178","environments\stars\hour_twilight_rewind_time.mdx","0"
"181","environments\stars\stars.mdx","0"
"182","environments\stars\twilightrealmsky01.mdx","2"
"183","environments\stars\twilightrealmsky01.mdx","2"
"187","environments\stars
exus_arcane_sanctum.mdx","0"
"188","environments\stars\maelstrom_sky02_deathwingfight.mdx","0"
"194","environments\stars\fallofazeroth01.mdx","0"
"195","environments\stars\zuldrakskyb.mdx","0"
"196","environments\stars\darkmoonsky01.mdx","1"
"197","environments\stars\darkmoonsky01.mdx","1"
"198","environments\stars\maelstrom_sky03_stormbreak.mdx","2"
"199","environments\stars\maelstrom_sky01.mdx","0"
"200","environments\stars\maelstrom_sky03_stormbreak.mdx","2"
